#file	clusteren	cluster-cluster
284_seed.data	-988.30777505865	-432.078890742296
285_seed.data	-865.004618521642	-425.267644948167
286_seed.data	-878.87257662239	-323.551014114108
287_seed.data	-1232.5715132782	-500.784817747969
288_seed.data	-998.745511230264	-457.929876355134
289_seed.data	-897.233240332443	-402.596853815992
290_seed.data	-882.796091944999	-290.901837697494
291_seed.data	-876.12584236145	-383.702369491672
292_seed.data	-931.637074294536	-440.016122213984
293_seed.data	-836.156554072573	-313.664652351089
294_seed.data	-844.386189419669	-314.039482256369
295_seed.data	-966.292829889004	-410.09265709035
296_seed.data	-922.817763013511	-382.553096675147
297_seed.data	-941.088338813869	-412.438245010597
298_seed.data	-873.303842573013	-358.652038247309
299_seed.data	-809.405400736705	-307.406644677733
300_seed.data	-1012.29750667119	-383.332952507625
301_seed.data	-850.087175824657	-278.370823575439
302_seed.data	-886.483105004711	-336.410903811377
303_seed.data	-954.559042999153	-491.926286556777
304_seed.data	-1295.63244523827	-639.226945324489
305_seed.data	-939.904729749245	-434.59231716076
306_seed.data	-845.340846891739	-373.257120469911
307_seed.data	-822.590428654734	-354.083833801908
308_seed.data	-1083.9966447739	-529.792317888681
309_seed.data	-888.4657249313	-334.179738863628
310_seed.data	-915.993706455427	-353.413497364363
311_seed.data	-1163.6780435468	-421.47447514223
312_seed.data	-892.689654144469	-350.42147240539
313_seed.data	-997.344309738668	-403.107345001235
314_seed.data	-994.838263646418	-354.785914459442
315_seed.data	-919.030209815382	-430.99055150474
316_seed.data	-837.655749309459	-370.912711380541
317_seed.data	-1003.46690664484	-375.176982713398
318_seed.data	-1396.26589019544	-664.797507121035
319_seed.data	-1010.76733039823	-361.286893660707
320_seed.data	-911.848722903917	-344.131386514249
321_seed.data	-885.196178896909	-308.622749035092
322_seed.data	-870.511571914724	-354.261342226331
323_seed.data	-1172.70371341747	-458.576471168608
324_seed.data	-853.197047497499	-337.912441842309
325_seed.data	-1219.37895153197	-413.81982962388
326_seed.data	-974.421448192495	-322.541067713892
327_seed.data	-1101.339232584	-477.522028729435
328_seed.data	-825.431480979943	-371.722806486859
329_seed.data	-976.31066350326	-520.949694725915
330_seed.data	-828.207536736214	-306.822958709223
331_seed.data	-1421.99696978625	-835.332847866443
332_seed.data	-855.304730010394	-439.739638496325
333_seed.data	-920.940578951254	-421.244386380057
334_seed.data	-869.320152657871	-381.607454781803
335_seed.data	-1280.91560190858	-620.577091979478
336_seed.data	-976.371407353688	-410.978546964677
337_seed.data	-875.040036547377	-320.104966828853
338_seed.data	-1038.69409914287	-377.780165115967
339_seed.data	-969.818289919372	-418.170895173979
340_seed.data	-887.130875683655	-352.530059367822
341_seed.data	-867.579178982605	-356.684889186079
342_seed.data	-956.514448009925	-369.13602694396
343_seed.data	-846.343782036626	-340.600659774704
344_seed.data	-1095.9527976212	-478.493996137127
345_seed.data	-915.734770412203	-430.655110741009
346_seed.data	-1054.52194873135	-426.355994146691
347_seed.data	-984.111300146685	-351.677253874131
348_seed.data	-831.534445371997	-332.979318083017
349_seed.data	-901.412083752992	-500.516546519911
350_seed.data	-883.832990145889	-442.002251037536
351_seed.data	-1412.53834380094	-596.198696546276
352_seed.data	-914.348960376177	-380.22161217775
353_seed.data	-856.955787039961	-307.335271346695
354_seed.data	-1070.27597719749	-465.26382411458
355_seed.data	-824.259060734601	-388.154943140683
356_seed.data	-993.373380212646	-494.54477901246
357_seed.data	-1128.54930593469	-422.149608504764
358_seed.data	-1018.69323182161	-436.362788917275
359_seed.data	-836.936966719177	-483.439879047485
360_seed.data	-855.552388416454	-403.054942737692
361_seed.data	-900.067196504994	-358.038595434102
362_seed.data	-844.949481263663	-290.375580676872
363_seed.data	-1067.96064434099	-606.82795160072
364_seed.data	-1098.69959269468	-526.71946803067
365_seed.data	-997.119460429349	-444.763646946221
366_seed.data	-844.507041906512	-400.128738197922
367_seed.data	-1098.11423158333	-503.652934828884
368_seed.data	-1235.81096586546	-425.931919169532
369_seed.data	-846.200056058648	-472.74681892539
370_seed.data	-917.913954245067	-458.171295211166
371_seed.data	-838.09227668795	-347.358233248537
372_seed.data	-1410.33769971925	-841.755178150233
373_seed.data	-814.24067325199	-351.172608008971
374_seed.data	-901.711239629818	-363.558023977753
375_seed.data	-809.218735431333	-435.643497821068
376_seed.data	-1053.50618186913	-334.708434616719
377_seed.data	-946.254573412323	-448.996992844732
378_seed.data	-1347.8024874991	-725.731702420735
379_seed.data	-827.324011714598	-442.089098475154
380_seed.data	-985.176428403536	-433.407570714153
381_seed.data	-839.219365685713	-292.330326580736
382_seed.data	-1092.80735111076	-578.695920258959
383_seed.data	-1205.36830710721	-676.878412914167
384_seed.data	-855.096387273743	-380.87322320046
385_seed.data	-846.582660657032	-305.40191189224
386_seed.data	-1229.65647182294	-435.714499878893
387_seed.data	-936.688298847222	-410.109319329531
388_seed.data	-840.166294172325	-330.883212577499
389_seed.data	-1148.3432368089	-503.976632369612
390_seed.data	-1016.79032189557	-408.014256802176
391_seed.data	-955.623735718736	-354.813359499224
392_seed.data	-835.485961008309	-362.229591364309
393_seed.data	-897.441321844364	-335.984451739837
394_seed.data	-863.056636892914	-320.960490124834
395_seed.data	-1159.42925610256	-551.674337452847
396_seed.data	-858.741810841953	-437.118886426649
397_seed.data	-824.513374763123	-296.659821738023
398_seed.data	-1014.17941031429	-329.953239002855
399_seed.data	-854.079922863683	-338.604510095827
400_seed.data	-804.228127765905	-270.048151525062
401_seed.data	-825.023959716745	-331.91377878912
402_seed.data	-967.302105023143	-381.560226681638
403_seed.data	-819.547990163228	-352.091511626837
404_seed.data	-887.189400478834	-338.874807557691
405_seed.data	-990.510198470613	-445.044817696048
406_seed.data	-1139.74449527742	-502.227314084415
407_seed.data	-934.33417111618	-339.299047770283
408_seed.data	-1207.62209798233	-594.683038301506
409_seed.data	-915.36646300376	-313.079587144293
410_seed.data	-821.313112271371	-375.059862970283
411_seed.data	-916.309587608557	-395.197253804511
412_seed.data	-1270.41641756347	-472.246052097558
413_seed.data	-934.794599184696	-451.795930149589
414_seed.data	-926.842030892696	-331.806591066927
415_seed.data	-861.251146860593	-448.371732322844
416_seed.data	-1065.68718320005	-389.638098433155
417_seed.data	-1436.31132235894	-622.763486445482
418_seed.data	-977.930069687699	-366.116655970239
419_seed.data	-936.561454937763	-330.674353652297
420_seed.data	-1149.63648935915	-528.75906386789
421_seed.data	-853.932395481917	-301.327459428107
422_seed.data	-959.160551509573	-330.940776995524
423_seed.data	-844.029296543008	-307.530635371149
424_seed.data	-1410.41211526557	-606.216800681172
425_seed.data	-1181.25865587728	-498.37067993275
426_seed.data	-904.713453372317	-334.144835362794
427_seed.data	-914.596313810057	-435.098234369867
428_seed.data	-979.45936867853	-422.128291080087
429_seed.data	-950.63754247376	-444.606195402972
430_seed.data	-1078.60290010523	-567.621785723176
431_seed.data	-995.014096751047	-370.760754612954
432_seed.data	-1140.68134794319	-503.91826754304
433_seed.data	-901.293112644535	-361.695205714516
434_seed.data	-823.699349106696	-315.155145166985
435_seed.data	-944.18359198865	-406.742184670878
436_seed.data	-1002.20711004653	-384.304170451579
437_seed.data	-1217.27799320229	-589.879681071854
438_seed.data	-1210.1435423293	-481.548390530804
439_seed.data	-1064.16136077986	-480.563633584879
440_seed.data	-991.208504251808	-479.945856365215
441_seed.data	-1366.4651556093	-796.894434825513
442_seed.data	-829.901320072257	-315.7543479327
443_seed.data	-948.200939959743	-466.081333465793
444_seed.data	-837.489373788719	-368.146428910492
445_seed.data	-937.891777079649	-452.251818843978
446_seed.data	-1041.80337468295	-366.357958102314
447_seed.data	-1113.92756818297	-355.175836335679
448_seed.data	-930.100808079725	-484.414971569481
449_seed.data	-818.399254785181	-326.642948527274
450_seed.data	-898.495038605482	-393.758852055451
451_seed.data	-828.404520910626	-270.017775590087
452_seed.data	-1138.65641695027	-585.798890638106
453_seed.data	-835.838373735307	-312.019180568731
454_seed.data	-985.372472242733	-500.604971471901
455_seed.data	-1132.22571317538	-465.722026161029
456_seed.data	-925.961345360818	-433.001260650948
457_seed.data	-837.237507984893	-335.999758610167
458_seed.data	-849.228871780114	-287.258059950629
459_seed.data	-837.055528442934	-324.893013450808
460_seed.data	-959.78567194592	-393.696544240004
461_seed.data	-1068.18832745988	-462.299065646334
462_seed.data	-1093.15328894464	-530.142673303966
463_seed.data	-851.201563597493	-328.636307786202
464_seed.data	-938.974185825233	-490.413123690649
465_seed.data	-1322.06382355092	-606.997547187722
466_seed.data	-1021.29107855039	-490.235664332647
467_seed.data	-1172.19660430232	-563.47659097522
468_seed.data	-841.460189770301	-417.699352647282
469_seed.data	-826.971655452538	-280.181608633664
470_seed.data	-853.075251510709	-327.533991923919
471_seed.data	-1021.63951412016	-439.899383480277
472_seed.data	-848.324169849851	-433.930132403976
473_seed.data	-949.500275074618	-485.688113035672
474_seed.data	-1004.64242386731	-511.812574121384
475_seed.data	-1439.4845046359	-807.023487482869
476_seed.data	-1044.44357400157	-458.662340699414
477_seed.data	-1214.92289718417	-514.636470572899
478_seed.data	-818.076735163663	-307.539848394253
479_seed.data	-958.188901322094	-506.327764860961
480_seed.data	-1126.82788055756	-475.373540593413
481_seed.data	-951.244466542597	-408.01465813636
482_seed.data	-829.952108238506	-345.689194698033
483_seed.data	-1091.33382301534	-581.39231152347
484_seed.data	-1434.68203274507	-676.374748673085
485_seed.data	-1010.16181738716	-428.737718545167
486_seed.data	-1063.32583166071	-429.024391245625
487_seed.data	-1306.0641099017	-591.53892337067
488_seed.data	-1153.41927156024	-462.395421174367
489_seed.data	-1154.11042279037	-634.566999678728
490_seed.data	-1202.33827129132	-428.646792592743
491_seed.data	-993.901142444116	-360.306709274991
492_seed.data	-970.650031047381	-335.929497668137
493_seed.data	-824.360824277003	-377.877736330338
494_seed.data	-1390.46562299607	-883.104674664289
495_seed.data	-1162.98303609473	-502.571858404718
496_seed.data	-1010.87415266699	-405.234677811666
497_seed.data	-1133.14552569937	-463.69289828657
498_seed.data	-978.06473974051	-415.80505416429
499_seed.data	-1371.53881285744	-509.284858615891
500_seed.data	-1077.43334000983	-513.760115731509
501_seed.data	-1178.89477037247	-511.431908660071
502_seed.data	-1045.11407792672	-413.803450082254
503_seed.data	-858.919697056422	-343.981552283465
504_seed.data	-913.475019336608	-354.347673086567
505_seed.data	-1078.00340212922	-479.014542562381
506_seed.data	-835.325040815528	-303.327370156027
507_seed.data	-839.46298012004	-303.935798722454
508_seed.data	-1023.50075268715	-380.058405308533
509_seed.data	-1201.60826793006	-550.768814318138
510_seed.data	-839.818216867649	-339.431951591813
511_seed.data	-879.074624658103	-315.462498674646
512_seed.data	-1122.37641218909	-530.548032633175
513_seed.data	-1370.60390673904	-796.889212246492
514_seed.data	-878.541347853362	-438.654650170695
515_seed.data	-1129.82828185972	-554.816799317251
516_seed.data	-843.173912708661	-415.700965746423
517_seed.data	-1016.04383517274	-418.908454660614
518_seed.data	-1225.9585359662	-538.728882175996
519_seed.data	-845.977728864369	-271.528910992333
520_seed.data	-950.755550625031	-387.673368144062
521_seed.data	-1503.8835144637	-597.608898448366
522_seed.data	-868.125315394163	-417.662434367579
523_seed.data	-988.688160995732	-521.557878843668
524_seed.data	-843.631203106014	-339.956235753656
525_seed.data	-1205.96691972197	-705.856715101647
