#file	clusteren	cluster-cluster
356_seed.data	-1567.43435083143	-808.255270362823
357_seed.data	-1930.5424312099	-1286.73200396552
358_seed.data	-1708.56767644423	-987.15327566793
359_seed.data	-1878.56059686053	-1161.93194649711
360_seed.data	-2003.42755358509	-1379.66503866946
361_seed.data	-1786.56724417281	-1133.76879763568
362_seed.data	-1583.53132146979	-921.404137036365
363_seed.data	-1558.59946239084	-859.420213893554
364_seed.data	-1733.88039790128	-1082.28070054474
365_seed.data	-1645.68875600784	-958.132204781476
366_seed.data	-1682.02610481853	-1088.49499475043
367_seed.data	-1945.70510425143	-1221.98114979385
368_seed.data	-1547.70495521783	-830.745672389886
369_seed.data	-1584.52511577691	-984.715303918494
370_seed.data	-1656.58188616592	-1013.81471646632
371_seed.data	-1717.65676996281	-1029.62656398093
372_seed.data	-1559.84303392261	-761.093622300963
373_seed.data	-1825.66597529854	-1064.40286839748
374_seed.data	-1537.04802732957	-884.837974571052
375_seed.data	-1520.37181521486	-786.715302951278
376_seed.data	-1888.94983140438	-1152.70746022377
377_seed.data	-1571.15120272512	-890.132916708577
378_seed.data	-1877.62693483442	-956.194485591039
379_seed.data	-1615.73203340372	-999.243297317165
380_seed.data	-1615.11766230141	-975.930637484176
381_seed.data	-1982.10731657241	-1333.96385339826
382_seed.data	-1759.83925116848	-1121.75327508439
383_seed.data	-1594.44641611565	-1043.29160483369
384_seed.data	-1628.06935553274	-1058.91430636311
385_seed.data	-1784.70119322085	-1106.37334985384
386_seed.data	-1954.18638855884	-1321.43765146209
387_seed.data	-1584.46004271114	-989.063568768468
388_seed.data	-1903.22495941102	-1157.68277487558
389_seed.data	-1587.78229056744	-929.479993417559
390_seed.data	-1890.81293569785	-1122.15354084056
391_seed.data	-1836.49192135922	-1189.90643567156
392_seed.data	-1839.2805278913	-1225.38017354303
393_seed.data	-1888.87106118101	-1288.01336473978
394_seed.data	-1910.23499415236	-1157.21477194747
395_seed.data	-1539.13485581777	-861.419095819089
396_seed.data	-1671.64666219902	-1127.2852641658
397_seed.data	-1808.99111325496	-1153.39005529266
398_seed.data	-1744.06698072056	-984.917999567447
399_seed.data	-1629.17049693388	-991.395122408736
400_seed.data	-1529.91043919878	-894.483459194921
401_seed.data	-1751.86432815461	-920.276980591024
402_seed.data	-1616.54720152747	-963.051437857586
403_seed.data	-1574.93763260337	-1027.34485076014
404_seed.data	-1726.92028391114	-969.712495158758
405_seed.data	-1680.24275826222	-984.410943844675
406_seed.data	-1563.51729730228	-992.732414254942
407_seed.data	-1802.18605483867	-1101.90170447996
408_seed.data	-1790.97988565337	-1085.5714436633
409_seed.data	-1625.59013892857	-1032.87275102162
410_seed.data	-1994.18845949168	-1334.09171094018
411_seed.data	-1622.33993396421	-986.245589122065
412_seed.data	-1794.88203195154	-1236.5613212403
413_seed.data	-1972.78903336305	-1296.75095207343
414_seed.data	-1495.53848167105	-880.299176300826
415_seed.data	-1614.44382140825	-992.488856155099
416_seed.data	-1685.22305735376	-1084.45125258395
417_seed.data	-1535.01964570908	-895.73638388585
418_seed.data	-1577.2180919443	-978.582413850434
419_seed.data	-1837.35540895699	-1168.04992035098
420_seed.data	-1964.5327764943	-1065.49387018234
421_seed.data	-1546.8252934421	-983.807046317318
422_seed.data	-1897.71098735239	-1232.79730469122
423_seed.data	-1574.63790738963	-878.812004124645
424_seed.data	-1927.57808879602	-1319.69748354224
425_seed.data	-1975.00595909642	-1218.76627484987
426_seed.data	-1864.08942475987	-1288.1850129122
427_seed.data	-1941.1781453183	-1279.39366890691
428_seed.data	-1870.38597514762	-1025.1828555186
429_seed.data	-1626.61356772463	-1036.8489772724
430_seed.data	-1925.43958387419	-1129.71875060541
431_seed.data	-1902.41712795712	-1162.61321318624
432_seed.data	-1506.1602145087	-855.923694898779
433_seed.data	-1585.36452359279	-1032.65996048847
434_seed.data	-1682.28853719351	-891.824848436898
435_seed.data	-1947.40816720637	-1352.67359472072
436_seed.data	-1870.75258843957	-1266.21344077216
437_seed.data	-1859.8122097163	-1237.7428259505
438_seed.data	-1576.34903660973	-1012.81395558084
439_seed.data	-1840.61330893055	-1053.81129960881
440_seed.data	-1770.35210605367	-1121.0280875
441_seed.data	-1542.40682571516	-959.096107562084
442_seed.data	-1630.38655343401	-916.766019492763
443_seed.data	-1943.41504596159	-1180.23169969342
444_seed.data	-1759.71266046001	-1193.76392806982
445_seed.data	-1864.18381544306	-1214.01066006433
446_seed.data	-1655.25439822758	-1047.52869815353
447_seed.data	-1715.99693173604	-1047.44297396786
448_seed.data	-1761.90946627193	-906.824077109175
449_seed.data	-1591.94475159024	-894.446903580116
450_seed.data	-1558.04931391918	-884.137839111214
451_seed.data	-1947.8795166228	-1168.52458172021
452_seed.data	-1671.33537816211	-1046.48216347827
453_seed.data	-1715.4172591989	-1026.43424243536
454_seed.data	-1746.84285397723	-1095.90961594696
455_seed.data	-1717.89739935201	-1153.13569222074
456_seed.data	-1576.73021291669	-947.764498744033
457_seed.data	-1698.7048603238	-1108.24929209766
458_seed.data	-1862.86168040348	-1179.24364040218
459_seed.data	-1522.34946349585	-959.084662286867
460_seed.data	-1524.09549210002	-933.543852969698
461_seed.data	-1586.42142187932	-939.929452549524
462_seed.data	-1624.64920876799	-1042.30897490719
463_seed.data	-1823.53904158466	-1097.15100272662
464_seed.data	-1850.58012721589	-1218.7637137564
465_seed.data	-1674.20589943119	-994.338567414228
