#file	clusteren	cluster-cluster
909_seed.data	-973.953647297429	-530.080359852344
910_seed.data	-1107.28304331045	-659.55735725224
911_seed.data	-1224.01197132141	-556.845284746417
912_seed.data	-1397.72300843344	-874.92793423247
913_seed.data	-1464.81229047631	-926.487864740701
914_seed.data	-1352.36591442305	-868.168750800762
915_seed.data	-1088.45785839211	-588.619895417387
916_seed.data	-1178.3645482484	-531.453799192903
917_seed.data	-1272.65181717129	-622.440460556136
918_seed.data	-1319.72647991917	-714.346984164649
919_seed.data	-933.35238946363	-567.175580321295
920_seed.data	-974.099650148788	-489.373455872235
921_seed.data	-1197.83010016994	-614.727108345512
922_seed.data	-1005.78884390264	-540.578152768193
923_seed.data	-1152.67366011605	-610.234342353082
924_seed.data	-1105.66302667884	-547.425427607982
925_seed.data	-947.856638725739	-507.14523522604
926_seed.data	-1412.34609300233	-862.642846280008
927_seed.data	-1083.40552064932	-605.102381624959
928_seed.data	-905.196062910902	-309.167700512462
929_seed.data	-959.429221389695	-461.175996025328
930_seed.data	-1070.35948454132	-633.909188638435
931_seed.data	-1241.33117657036	-728.983084195166
932_seed.data	-1413.07629314969	-839.418940402978
933_seed.data	-1448.14447215924	-919.773678519716
934_seed.data	-1334.50517224703	-854.115163101144
935_seed.data	-1232.31498242211	-580.367374485605
936_seed.data	-862.96173108021	-526.864995080586
937_seed.data	-937.166250488684	-516.524324330262
938_seed.data	-1139.19325139975	-623.615364156097
939_seed.data	-1064.78520038266	-663.012403657655
940_seed.data	-1011.37939969914	-516.683836881556
941_seed.data	-914.315230548553	-384.329470618462
942_seed.data	-1362.63958397021	-856.073823917755
943_seed.data	-1203.82736248812	-652.847428054942
944_seed.data	-1417.39832848336	-783.497702687363
945_seed.data	-1440.64984778678	-744.839234138356
946_seed.data	-1017.74513643005	-562.259095105622
947_seed.data	-1386.92802210021	-757.087129531102
948_seed.data	-1153.58883972228	-695.149442859119
949_seed.data	-1192.04389056404	-609.817484077427
950_seed.data	-1014.17016460255	-633.192563098963
951_seed.data	-1485.38611297806	-998.50614514187
952_seed.data	-885.57858293705	-406.57455755378
953_seed.data	-1458.29865540339	-876.336289980914
954_seed.data	-1022.16070545417	-603.721213241151
955_seed.data	-1249.85970733267	-776.114290121743
956_seed.data	-878.68455156026	-292.29495734477
957_seed.data	-1015.10454363674	-525.820359491528
958_seed.data	-1129.329216513	-587.279361991623
959_seed.data	-1117.79996941625	-528.065521554612
960_seed.data	-911.593597360814	-440.045428131172
961_seed.data	-845.841476134387	-376.290902129075
962_seed.data	-1007.4510411521	-590.232071046172
963_seed.data	-872.688650233757	-444.730797714442
964_seed.data	-1144.62429087165	-627.012443914968
965_seed.data	-938.118224153963	-553.493334320613
966_seed.data	-997.306463707058	-574.273203945024
967_seed.data	-1010.70912261192	-565.681658466304
968_seed.data	-1034.10884726465	-633.74417190086
969_seed.data	-1194.50272024562	-690.373277919189
970_seed.data	-1445.38404427229	-794.997324803403
971_seed.data	-1446.24391773664	-948.481952136905
972_seed.data	-963.314407676871	-543.612312488504
973_seed.data	-994.258934063768	-598.882944218041
974_seed.data	-1439.90332378707	-805.164917720656
975_seed.data	-1323.32247851783	-710.031001417429
976_seed.data	-832.563376731263	-510.267278290229
977_seed.data	-981.889490961957	-555.402438801547
978_seed.data	-1426.5123432803	-751.18858624305
979_seed.data	-1261.74356789835	-694.119296583807
980_seed.data	-1230.84827811555	-775.416693807056
981_seed.data	-1028.4281556333	-525.375230306813
982_seed.data	-1490.91943728676	-991.238994012006
983_seed.data	-1072.70987625169	-521.247230472368
984_seed.data	-815.757075853382	-360.198489616293
985_seed.data	-1038.89231017702	-617.312554576571
986_seed.data	-1249.90670448223	-713.753346603124
987_seed.data	-938.643863509113	-567.386472267718
988_seed.data	-1348.31320506728	-853.391788721127
